OK;OK
YES;Ya
NO;Tidak
CANCEL;Batal
SAVE;Simpan
IMAGES;Gambar
LANGUAGE;Bahasa:
ADD_IMAGES;Tambah gambar
ADD_IMAGES_TITLE;Tambah gambar
ADD_FOLDER;Tambah folder
ADD_FOLDER_TITLE;Tambah folder
ADD_ZIP;Tambah ZIP
ADD_ZIP_TITLE;Tambah gambar dari ZIP
IMAGE_DROP_HELP;atau seret dan lepas gambar di sini
CLEAR;Bersihkan
CLEAR_TITLE;Bersihkan semua gambar
DELETE;Hapus
DELETE_TITLE;Hapus gambar yang dipilih
REPLACE_FILES_PROMPT;Ganti file yang sudah ada?
DISPLAY_OUTLINES;Garis tepi:
SCALE;Skala:
SHOW_SPRITES;Animasi
SPRITE_NAME;Nama sprite:
ANIMATION_SPEED;Kecepatan animasi:
TEXTURE_NAME;Nama tekstur:
TEXTURE_NAME_TITLE;Nama tekstur untuk ekspor
TEXTURE_FORMAT;Format tekstur:
TEXTURE_FORMAT_TITLE;Format tekstur untuk ekspor
REMOVE_FILE_EXT;Hapus ekstensi file:
REMOVE_FILE_EXT_TITLE;Hapus ekstensi file dari nama sprite
PREPEND_FOLDER;Tambahkan nama folder:
PREPEND_FOLDER_TITLE;Tambahkan nama folder ke nama file
BASE64_EXPORT_TITLE;Ekspor ke format base64 jika memungkinkan
BASE64_EXPORT;Ekspor ke base64
TINIFY_TITLE;Gunakan Tinify dengan https://tinypng.com
TINIFY;Tinify
TINIFY_KEY_TITLE;Kunci TinyPNG https://tinypng.com/developers
TINIFY_KEY;Kunci TinyPNG
DISABLE_SMOOTHING;Nonaktifkan penghalusan gambar
DISABLE_SMOOTHING_TITLE;Nonaktifkan penghalusan gambar
SCALE;Skala:
SCALE_TITLE;Skala dasar tekstur
FILTER;Filter:
FILTER_TITLE;Filter untuk tekstur hasil
FORMAT;Format:
FORMAT_TITLE;Format ekspor
FILE_NAME;Nama file:
FILE_NAME_TITLE;Nama file hasil
SAVE_PATH;Lokasi penyimpanan
SAVE_PATH_TITLE;Lokasi untuk menyimpan hasil packing
WIDTH;Lebar:
WIDTH_TITLE;Lebar maksimum tekstur
